GameId,HomeTeamId,AwayTeamId,HomeScore,AwayScore,Week,HomePassingYards,HomeRushingYards,AwayPassingYards,AwayRushingYards,
83,13,4,20,13,6,177,74,145,100,
84,25,29,3,27,6,142,79,222,155,
85,7,27,21,28,6,229,62,369,112,
86,20,1,27,17,6,233,195,240,60,
87,2,30,34,29,6,355,70,395,121,
88,8,17,14,38,6,238,103,215,246,
89,10,18,20,23,6,322,60,201,270,
90,31,3,0,21,6,117,55,238,123,
91,9,15,40,7,6,183,206,149,65,
92,21,16,43,40,6,340,173,352,94,
93,12,28,33,30,6,425,116,245,174,
94,1,10,10,45,7,194,69,189,131,
95,17,31,20,19,7,306,47,237,164,
96,26,5,17,21,7,310,58,269,121,
97,19,11,21,32,7,239,107,217,248,
98,6,21,31,38,7,333,134,277,108,
99,24,20,17,37,7,206,71,241,88,
100,30,8,26,23,7,365,114,215,119,
101,14,4,37,5,7,156,220,175,135,
102,15,13,7,20,7,217,70,139,141,
103,3,22,23,24,7,284,77,212,134,
104,32,9,20,17,7,178,130,273,73,
105,28,18,10,39,7,170,107,202,146,
106,16,7,45,10,7,358,198,187,65,
107,2,23,23,20,7,379,67,399,61,
108,13,19,42,23,8,239,188,269,116,
109,15,26,18,24,8,286,70,286,133,
110,5,3,36,21,8,232,154,238,101,
111,11,29,14,28,8,310,34,248,176,
112,6,24,24,10,8,220,179,153,57,
113,16,10,30,23,8,303,49,262,189,
114,27,8,33,18,8,257,168,180,74,
115,7,30,37,34,8,280,138,470,126,
116,23,32,13,20,8,316,37,178,182,
117,25,14,42,28,8,244,103,239,222,
118,18,12,29,27,8,307,135,286,106,
119,1,28,18,15,8,190,107,252,88,
120,20,22,20,30,8,359,85,164,106,
121,4,21,6,25,8,313,46,324,76,
122,28,25,34,3,9,262,143,179,102,
123,32,2,14,38,9,306,79,350,154,
124,3,27,16,23,9,218,61,292,113,
125,5,30,42,28,9,247,179,243,82,
126,20,11,24,9,9,164,128,199,66,
127,19,24,13,6,9,139,64,229,80,
128,8,16,21,37,9,308,102,375,139,
129,4,6,9,41,9,188,98,135,64,
130,29,17,17,25,9,235,154,228,160,
131,10,13,17,19,9,290,75,213,98,
132,22,18,45,35,9,346,141,291,92,
133,21,12,31,17,9,331,123,259,117,
134,9,31,14,28,9,243,72,240,125,
135,27,5,52,21,10,325,138,193,95,
136,6,11,34,22,10,355,54,274,76,
137,7,22,14,51,10,198,110,265,244,
138,16,1,26,14,10,249,118,208,94,
139,8,2,28,16,10,216,211,330,71,
140,14,15,29,26,10,285,81,324,91,
141,30,32,3,16,10,406,103,178,116,
142,31,21,34,10,10,249,150,267,40,
143,24,4,10,41,10,135,83,247,212,
144,25,17,6,20,10,243,114,223,113,
145,12,19,31,12,10,199,195,213,131,
146,18,29,36,31,10,318,149,176,273,
147,26,9,20,27,10,360,71,270,171,
148,28,23,23,27,10,250,124,188,97,
149,29,12,27,24,11,225,173,332,48,
150,15,27,16,20,11,104,179,314,26,
151,11,5,20,19,11,220,94,357,56,
152,3,7,24,21,11,150,267,211,48,
153,23,30,38,35,11,231,163,366,151,
154,2,9,19,22,11,291,80,208,132,
155,14,31,38,10,11,295,102,203,91,
156,32,13,21,23,11,189,124,208,139,
157,1,25,21,23,11,136,154,192,152,
158,17,10,22,23,11,401,95,217,108,
159,22,26,48,7,11,373,179,156,58,
160,6,20,25,20,11,165,148,262,22,
161,18,16,54,51,11,413,76,478,98,
162,11,6,16,23,12,236,111,238,38,
163,9,32,31,23,12,289,146,268,80,
164,22,2,31,17,12,171,150,377,26,
165,3,25,34,17,12,178,242,194,67,
166,24,21,13,27,12,276,74,283,215,
167,4,15,24,21,12,160,167,127,226,
168,30,28,27,9,12,312,108,221,148,
169,5,29,27,30,12,256,220,339,75,
170,7,8,20,35,12,255,129,258,84,
171,26,23,25,22,12,236,127,297,126,
172,17,1,45,10,12,259,178,105,62,
173,10,27,24,17,12,197,124,464,75,
174,14,19,27,24,12,347,118,204,113,
175,20,12,24,17,12,342,91,198,82,
176,13,31,34,17,12,210,281,303,105,
177,9,22,13,10,13,249,99,127,65,
178,13,8,29,13,13,224,187,297,31,
179,7,10,10,24,13,236,111,151,218,
180,11,18,16,30,13,245,102,207,149,
181,12,1,17,20,13,233,98,149,182,
182,2,3,16,26,13,131,34,167,207,
183,15,14,6,0,13,150,79,248,41,
184,19,4,21,17,13,137,60,231,198,
185,23,6,30,27,13,219,141,286,118,
186,30,5,24,17,13,249,95,300,168,
187,25,16,33,40,13,285,171,295,174,
188,31,24,26,22,13,282,130,128,156,
189,29,28,43,16,13,185,168,414,66,
190,21,20,24,10,13,311,160,201,95,
191,27,17,30,33,13,281,65,299,85,
192,26,32,28,13,13,306,130,150,104,
193,31,15,30,9,14,162,264,240,60,
194,4,24,23,27,14,206,176,170,78,
195,32,23,16,40,14,233,84,197,227,
196,8,5,26,20,14,238,116,298,96,
197,12,2,34,20,14,196,138,262,107,
198,19,21,34,33,14,265,189,358,77,
199,13,14,21,24,14,267,89,399,50,
200,16,3,27,24,14,377,94,147,194,
201,30,22,14,28,14,213,105,201,100,
202,28,10,20,14,14,332,84,186,103,
203,17,7,26,21,14,220,85,170,144,
204,9,26,29,23,14,455,142,228,34,
205,25,27,24,21,14,322,55,306,40,
206,1,11,3,17,14,240,61,101,122,
207,6,18,15,6,14,110,194,187,52,
208,29,20,21,7,14,72,214,208,77,
209,16,17,28,29,15,243,60,313,119,
210,24,13,22,29,15,253,90,394,47,
211,10,8,16,17,15,257,32,188,134,
212,4,11,14,13,15,204,117,208,105,
213,23,31,0,17,15,229,47,94,215,
214,6,12,24,17,15,235,100,274,88,
215,15,32,13,16,15,57,172,151,109,
216,7,25,30,16,15,130,171,263,68,
217,3,30,20,12,15,131,242,157,85,
218,2,1,40,14,15,231,215,243,60,
219,20,19,41,17,15,215,220,108,156,
220,14,9,23,0,15,192,178,206,112,
221,28,29,26,23,15,275,94,237,168,
222,27,21,17,10,15,235,158,179,96,
223,18,26,23,30,15,339,82,270,111,
224,5,22,9,12,15,181,98,203,155,
225,31,32,25,16,16,211,99,153,161,
226,17,3,10,22,16,181,51,204,159,
227,5,2,10,24,16,312,141,239,194,
228,24,12,38,44,16,341,47,442,127,
229,14,23,28,27,16,357,49,309,83,
230,9,30,27,20,16,161,80,336,63,
231,11,20,9,27,16,161,86,253,100,
232,21,4,24,12,16,126,273,217,72,
233,26,13,32,30,16,471,57,339,62,
234,19,15,7,17,16,146,62,145,126,
235,8,7,26,18,16,347,146,133,102,
236,28,6,9,14,16,241,47,246,90,
237,1,18,9,31,16,182,104,216,269,
238,22,27,31,9,16,326,57,380,65,
239,29,16,38,31,16,271,210,273,154,
240,25,10,27,14,16,167,114,202,100,
241,13,15,20,3,17,234,134,107,30,
242,30,2,32,34,17,345,92,383,109,
243,23,9,35,36,17,301,143,387,51,
244,12,11,0,31,17,158,46,274,130,
245,22,5,14,33,17,118,184,268,111,
246,4,19,42,17,17,224,166,150,99,
247,21,24,38,3,17,250,131,167,104,
248,20,6,10,24,17,132,63,163,169,
249,29,1,27,24,17,152,182,149,85,
250,27,7,16,13,17,287,65,95,125,
251,18,28,48,32,17,222,155,282,127,
252,3,8,26,24,17,179,296,376,50,
253,16,25,35,3,17,310,99,185,127,
254,32,26,0,24,17,98,21,243,129,
255,10,17,9,23,17,292,82,176,116,
256,31,14,17,33,17,165,93,285,158,
